year,head_no,subhead_no,subhead_name,reimbursements,item_no,title,actual,revised,estimate
2007,170,184,Traffic accident victims assistance scheme,"",,Recurrent,20708,24372,52613
2007,170,187,Agents’ commission and expenses,"",,Recurrent,4767,3134,3157
2007,170,187,Child care centre fee assistance,"",,Recurrent,307119,,
2007,170,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",232,300,232
2007,170,700,General non-recurrent,"",,Non-Recurrent,246017,78676,39700
2007,173,000,Operational expenses,"",,Recurrent,129474,152810,200952
2007,173,228,Student financial assistance,"",,Recurrent,2503570,3103570,3071051
2007,173,700,General non-recurrent,"",,Non-Recurrent,457624,461272,486678
2007,174,000,Operational expenses,"",,Recurrent,10441,8169,13446
2007,180,000,Operational expenses,"",,Recurrent,77012,78204,86609
2007,180,700,General non-recurrent,"",,Non-Recurrent,5348,14878,8819
2007,181,000,Operational expenses,"",,Recurrent,244813,231798,255600
2007,181,700,General non-recurrent,"",,Non-Recurrent,455099,215730,235027
2007,181,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",28,18,
2007,181,,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",31,,
2007,184,988,Payment to the Loan Fund,"",,Capital Account,2000000,400000,1600000
2007,184,990,Payment to the Capital Investment Fund,"",,Capital Account,2000000,,
2007,184,990,Payment to the Disaster Relief Fund,"",,Capital Account,28400,16400,16800
2007,186,000,Operational expenses,"",,Recurrent,801133,823410,904656
2007,186,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",1092,5457,28164
2007,186,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4606,4489,2500
2007,186,700,General non-recurrent,"",,Non-Recurrent,2845,4407,3509
2007,186,927,Rehabuses for the Hong Kong Society for Rehabilitation,"",,Subventions,6450,,
2007,186,927,Hong Kong Society for Rehabilitation - rehabuses (block vote),"",,Subventions,,7177,8221
2007,188,000,Operational expenses,"",,Recurrent,300095,303771,318224
2007,188,003,Recoverable salaries and allowances (General),5425,,Recurrent,,,
2007,188,187,Agents’ commission and expenses,"",,Recurrent,3252,3450,4127
2007,188,700,General non-recurrent,"",,Non-Recurrent,,556,457
2007,190,000,Operational expenses,"",,Recurrent,11370166,11290182,11165325
2007,190,700,General non-recurrent,"",,Non-Recurrent,1024600,911300,4925
2007,194,000,Operational expenses,"",,Recurrent,2567723,2571703,2584168
2007,194,223,Purchase of water,"",,Recurrent,2529666,2494800,2494800
2007,194,700,General non-recurrent,"",,Non-Recurrent,6240,2295,106
2007,194,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3284,850,
2007,194,,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",358,665,
2008,21,000,Operational expenses,"",,Recurrent,69841,78015,79145
2008,22,000,Operational expenses,"",,Recurrent,688210,798905,828626
2008,22,600,Works,"",,"Plant, Equipment and Works",918,4915,3950
2008,22,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",426,550,441
2008,22,609,Minor irrigation works in the New Territories (block vote),"",,"Plant, Equipment and Works",821,1300,1140
2008,22,610,Minor recreational facilities and roadworks in country parks (block vote),"",,"Plant, Equipment and Works",9698,8800,10400
2008,22,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3918,8124,5070
2008,22,700,General non-recurrent,"",,Non-Recurrent,292227,666030,47918
2008,23,000,Operational expenses,"",,Recurrent,57999,59907,63633
2008,24,000,Operational expenses,"",,Recurrent,111351,115004,119263
2008,25,000,Operational expenses,"",,Recurrent,1357796,1399328,1432348
2008,25,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1044,,
2008,26,000,Operational expenses,"",,Recurrent,494686,455046,484715
2008,26,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",30,,
2008,27,000,Operational expenses,"",,Recurrent,71725,74581,80031
2008,27,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,800
2008,28,000,Operational expenses,"",,Recurrent,566518,605662,666784
2008,28,170,Airport insurance,"",,Recurrent,13684,10148,10695
2008,28,,General non-recurrent,"",,Non-Recurrent,430,,
2008,30,000,Operational expenses,"",,Recurrent,2251517,2352814,2421858
2008,30,118,Provisions for institutions,"",,Recurrent,60076,61614,65947
2008,30,193,Prisoners’ earning scheme,"",,Recurrent,28848,29870,30319
2008,30,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2735,8087,6439
2008,30,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",13294,20526,13992
2008,30,700,General non-recurrent,"",,Non-Recurrent,561,5576,600
2008,31,000,Operational expenses,"",,Recurrent,1806001,2012185,2185186
2008,31,103,Rewards and special services,"",,Recurrent,8984,8000,8000
2008,31,292,Seizure management,"",,Recurrent,33496,38000,38000
2008,31,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,11700,58500
2008,31,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4349,12813,18461
2008,31,,General non-recurrent,"",,Non-Recurrent,174,,
2008,33,000,Operational expenses,"",,Recurrent,1036659,1282385,1427534
2008,33,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4176,,3506
2008,33,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2056,,
2008,33,700,General non-recurrent,"",,Non-Recurrent,1028,310,80
2008,37,000,Operational expenses,"",,Recurrent,2815299,3035765,3259369
2008,37,003,Recoverable salaries and allowances (General),1145000,,Recurrent,,,
2008,37,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",746,4744,14510
2008,37,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",15772,15865,34791
2008,37,700,General non-recurrent,"",,Non-Recurrent,130488,50594,33497
2008,37,974,"Subvented institutions - maintenance, repairs, and minor improvements (block vote)","",,Subventions,100,1182,1280
2008,37,975,"Subvented institutions - minor plant, vehicles and equipment (block vote)","",,Subventions,450,,764
2008,39,000,Operational expenses,"",,Recurrent,1535332,1592855,1610316
2008,39,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2120,2791,10492
2008,39,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",15983,19490,17100
2008,39,700,General non-recurrent,"",,Non-Recurrent,32,400,700
2008,42,000,Operational expenses,"",,Recurrent,220557,221309,235308
2008,42,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",71768,72680,70822
2008,42,700,General non-recurrent,"",,Non-Recurrent,1429,1688,3030
2008,44,000,Operational expenses,"",,Recurrent,917051,985201,1012324
2008,44,297,Fees for operation of waste facilities,"",,Recurrent,1077140,1073000,1098500
2008,44,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",5915,12844,820
2008,44,700,General non-recurrent,"",,Non-Recurrent,8438,1161619,1237798
2008,45,000,Operational expenses,"",,Recurrent,2913404,3109345,3266307
2008,45,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",25327,24889,98734
2008,45,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",18625,17162,62518
2008,45,700,General non-recurrent,"",,Non-Recurrent,94,350,306
2008,46,001,Salaries,"",,Recurrent,186614,102441,63165
2008,46,003,Recoverable salaries and allowances (General),647,,Recurrent,,,
2008,46,006,Recoverable salaries and allowances (Companies Registry Trading Fund),112400,,Recurrent,,,
2008,46,008,Recoverable salaries and allowances (Hong Kong Monetary Authority),25270,,Recurrent,,,
2008,46,009,Recoverable salaries and allowances (Land Registry Trading Fund),162300,,Recurrent,,,
2008,46,010,Recruiting expenses,"",,,755,900,900
2008,46,011,Civil service examinations,"",,,5624,6001,6236
2008,46,013,Personal allowances,"",,,897902,954253,1020800
2008,46,014,Home purchase allowance,"",,,803577,768032,803000
2008,46,020,Payments to estates of deceased officers,"",,,11831,15708,15708
2008,46,022,Passages,"",,,180608,192400,197973
2008,46,023,Quartering,"",,,26149,24178,25171
2008,46,024,Staff relief and welfare,"",,,1942,2475,3218
2008,46,025,Long and Meritorious Service Travel Award Scheme,"",,,54422,58008,64468
2008,46,028,Legal assistance,"",,,1219,7848,1448
2008,46,032,Accommodation allowance,"",,,20204,19253,20300
2008,46,033,Home financing allowance,"",,,1256537,1069508,897000
2008,46,037,Pensioners’ welfare fund,"",,,905,910,910
2008,46,038,Private tenancy allowance,"",,,147044,155221,172000
2008,46,039,Rent allowance,"",,,256,40,40
2008,46,040,Non-accountable cash allowance,"",,,25147,41422,92400
2008,46,041,Mandatory Provident Fund contribution,"",,,40,149,192
2008,46,042,Staff Suggestions Schemeφ,"",,,6,12,
2008,46,042,Civil Service Provident Fund contribution,"",,,,154,304
2008,46,081,Recoverable salaries and allowances (Office of the Telecommunications Authority Trading Fund),119010,,Recurrent,,,
2008,46,082,Recoverable salaries and allowances (Post Office Trading Fund),1601000,,Recurrent,,,
2008,46,083,Recoverable salaries and allowances (Electrical and Mechanical Services Trading Fund),1131000,,Recurrent,,,
2008,46,084,Recoverable salaries and allowances (Legal Aid Services Council),1908,,Recurrent,,,
2008,47,000,Operational expenses,"",,Recurrent,522164,548871,563998
2008,47,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",696,1000,186
2008,47,,General non-recurrent,"",,Non-Recurrent,1010,202,
2008,48,000,Operational expenses,"",,Recurrent,215852,256569,259093
2008,48,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",9465,10147,41857
2008,48,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",9359,21693,28099
2008,49,000,Operational expenses,"",,Recurrent,3665180,3846710,4264326
2008,49,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,2750,12000
2008,49,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",17148,26498,108958
2008,49,700,General non-recurrent,"",,Non-Recurrent,39369,4334,5370
2008,51,000,Operational expenses,"",,Recurrent,1585296,1640259,1779773
2008,51,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",17339,18778,25655
2008,53,000,Operational expenses,"",,Recurrent,737914,957924,1236281
2008,53,003,Recoverable salaries and allowances (General),3606,,Recurrent,,,
2008,53,700,General non-recurrent,"",,Non-Recurrent,105285,34407,120790
2008,53,942,Hong Kong Academy for Performing Arts,"",,Subventions,1195,20532,14120
2008,53,973,"Hong Kong Academy for Performing Arts - minor plant, vehicles and equipment (block vote)","",,Subventions,7758,10095,13798
2008,55,000,Operational expenses,"",,Recurrent,55041,61799,63609
2008,55,,General non-recurrent,"",,Non-Recurrent,65765,162,
2008,59,000,Operational expenses,"",,Recurrent,288403,326057,347023
2008,59,003,Recoverable salaries and allowances (General),9608,,Recurrent,,,
2008,59,224,Motor Insurers’ Bureau - government contribution,"",,Recurrent,78,78,78
2008,59,225,Traffic Accident Victims Assistance Scheme - levies,"",,Recurrent,779,771,771
2008,59,226,Allocated stores: local landing charges,"",,Recurrent,20,10,10
2008,59,267,Unallocated stores: suspense account adjustment,"",,Recurrent,,1,1
2008,59,691,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,5702,
2008,59,691,General purpose vehicles (block vote),"",,"Plant, Equipment and Works",93584,94000,101000
2008,59,691,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2088,724,
2008,60,000,Operational expenses,"",,Recurrent,1713980,1813812,1916001
2008,60,272,Electricity for public lighting,"",,Recurrent,175287,183800,184508
2008,60,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1044,,1920
2008,60,700,General non-recurrent,"",,Non-Recurrent,508,1770,6780
2008,62,000,Operational expenses,"",,Recurrent,92527,118812,125553
2008,62,003,Recoverable salaries and allowances (General),2959908,,Recurrent,,,
2008,63,000,Operational expenses,"",,Recurrent,1158962,1252613,1473746
2008,63,654,Local public works (block vote),"",,"Plant, Equipment and Works",33127,33325,34305
2008,63,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",10168,5499,9952
2008,63,700,General non-recurrent,"",,Non-Recurrent,1103,22772,29247
2008,70,000,Operational expenses,"",,Recurrent,2227800,2609078,2693237
2008,70,202,Repatriation expenses,"",,Recurrent,7009,7855,8475
2008,70,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",177,7114,7659
2008,70,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",16520,532,
2008,72,000,Operational expenses,"",,Recurrent,646020,681782,739757
2008,72,103,Rewards and special services,"",,Recurrent,15257,16500,16500
2008,72,203,"Expenses of witnesses, suspects and detainees","",,Recurrent,505,600,630
2008,72,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,1225,
2008,74,000,Operational expenses,"",,Recurrent,316654,341430,367207
2008,74,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",339,,2840
2008,76,000,Operational expenses,"",,Recurrent,1017510,1070500,1108513
2008,76,189,Interest on tax reserve certificates,"",,Recurrent,28526,128270,134230
2008,76,209,Special legal expenses,"",,Recurrent,6480,6903,6903
2008,76,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1020,,2042
2008,78,000,Operational expenses,"",,Recurrent,69170,83974,91836
2008,78,700,General non-recurrent,"",,Non-Recurrent,10414,,912
2008,79,000,Operational expenses,"",,Recurrent,63563,65572,66468
2008,79,700,General non-recurrent,"",,Non-Recurrent,42426,42500,42839
2008,80,000,Operational expenses,"",,Recurrent,850528,901356,1009908
2008,80,206,Expenses of witnesses and jurors,"",,Recurrent,6208,7000,8500
2008,80,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",213,200,450
2008,80,613,Law library acquisitions (block vote),"",,"Plant, Equipment and Works",17550,17100,19950
2008,80,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2664,1868,2529
2008,80,700,General non-recurrent,"",,Non-Recurrent,1361,2646,3421
2008,82,000,Operational expenses,"",,Recurrent,717788,742993,786835
2008,82,227,Payment for Land Registry/Companies Registry Trading Fund services,"",,Recurrent,39145,39840,36750
2008,82,700,General non-recurrent,"",,Non-Recurrent,5561,1217,1457
2008,90,000,Operational expenses,"",,Recurrent,801424,863166,914625
2008,90,280,Contribution to the Occupational Safety and Health Council,"",,Recurrent,2956,3000,3207
2008,90,295,Contribution to the Occupational Deafness Compensation Board,"",,Recurrent,1773,1745,2887
2008,90,700,General non-recurrent,"",,Non-Recurrent,102479,191600,96050
2008,90,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3019,,
2008,91,000,Operational expenses,"",,Recurrent,1478318,1598925,1693410
2008,91,003,Recoverable salaries and allowances (General),31890,,Recurrent,,,
2008,91,221,Clearance of government land - ex-gratia allowances,"",,Recurrent,501,1650,1700
2008,91,661,Works,"",,"Plant, Equipment and Works",56,,
2008,91,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1353,4470,1721
2008,91,700,General non-recurrent,"",,Non-Recurrent,2494,1126,1831
2008,92,000,Operational expenses,"",,Recurrent,755517,773826,857017
2008,92,003,Recoverable salaries and allowances (General),5340,,Recurrent,,,
2008,92,234,Court costs,"",,Recurrent,66017,90742,90700
2008,92,700,General non-recurrent,"",,Non-Recurrent,1551,5797,1483
2008,92,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,400,
2008,94,000,Operational expenses,"",,Recurrent,210157,220332,230860
2008,94,208,Legal aid costs,"",,Recurrent,418688,453300,528003
2008,95,000,Operational expenses,"",,Recurrent,4818229,4868231,4875813
2008,95,600,Works,"",,"Plant, Equipment and Works",5886,5173,14020
2008,95,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",14685,10620,54413
2008,95,653,Restoration of historic buildings (block vote),"",,"Plant, Equipment and Works",1406,1920,3920
2008,95,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",49855,45000,61350
2008,95,694,Archaeological excavations (block vote),"",,"Plant, Equipment and Works",887,960,960
2008,95,700,General non-recurrent,"",,Non-Recurrent,21855,17450,41400
2008,95,863,Non-government organisation camps (block vote),"",,Subventions,2249,1500,3000
2008,96,000,Operational expenses,"",,Recurrent,226668,268520,299507
2008,96,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,426,2400
2008,96,700,General non-recurrent,"",,Non-Recurrent,543,794,9000
2008,100,000,Operational expenses,"",,Recurrent,816953,853208,892687
2008,100,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",34260,28134,24330
2008,100,700,General non-recurrent,"",,Non-Recurrent,867,1160,1956
2008,106,251,Additional commitments,"",,Recurrent,,,3958181
2008,106,284,Other miscellaneous items#,"",,Recurrent,54,120,
2008,106,284,Compensation,"",,Recurrent,60176,65000,70000
2008,106,284,Write-offs#,"",,Recurrent,114,360,
2008,106,284,Difference in exchange#,"",,Recurrent,,6000,
2008,106,284,Refunds of revenue#,"",,Recurrent,15115,22500,
2008,106,689,Additional commitments,"",,"Plant, Equipment and Works",,,9594
2008,106,789,Additional commitments,"",,Non-Recurrent,,,36829923
2008,106,821,Contribution to the sixth replenishment of the Asian Development Fund,"",,Non-Recurrent,5134,1561,
2008,106,821,Contribution to the seventh replenishment of the Asian Development Fund,"",,Non-Recurrent,23893,11299,
2008,106,821,Contribution to the eighth replenishment of the Asian Development Fund,"",,Non-Recurrent,11670,17815,20256
2008,112,000,Operational expenses,"",,Recurrent,215008,224968,238831
2008,112,366,Remuneration and reimbursements for Members of the Legislative Council,"",,Recurrent,123816,128768,133865
2008,112,700,General non-recurrent,"",,Non-Recurrent,,100,160
2008,112,872,Non-recurrent expenses reimbursements for Members of the Legislative Council,"",,Subventions,1150,1329,8568
2008,112,885,Legislative Council Commission,"",,Subventions,2093,3818,4503
2008,114,000,Operational expenses,"",,Recurrent,81222,81572,85103
2008,114,700,General non-recurrent,"",,Non-Recurrent,30,40,41
2008,116,000,Operational expenses,"",,Recurrent,107017,112614,133474
2008,116,700,General non-recurrent,"",,Non-Recurrent,335,2000,810
2008,116,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,485,
2008,118,000,Operational expenses,"",,Recurrent,391292,422539,452169
2008,118,700,General non-recurrent,"",,Non-Recurrent,8656,21315,16478
2008,120,015,Public and judicial service pension benefits and compensation,"",,Recurrent,12903464,14182355,15770418
2008,120,016,Contract gratuities,"",,Recurrent,357773,325253,304832
2008,120,017,Surviving spouses’ and children’s pensions and widows’ and orphans’ pensions,"",,Recurrent,309656,328515,354297
2008,120,018,"Volunteer and defence force pensions, allowances and grants","",,Recurrent,37804,36792,36792
2008,120,021,"Ex-gratia pensions, awards and allowances","",,Recurrent,202,700,700
2008,120,026,"Employees’ compensation, injury, incapacity and death related payments and expenses","",,Recurrent,45005,44167,57972
2008,120,,General non-recurrent,"",,Non-Recurrent,390,,
2008,121,000,Operational expenses,"",,Recurrent,15188,15397,16526
2008,122,000,Operational expenses,"",,Recurrent,10733153,11212045,11609537
2008,122,103,Rewards and special services,"",,Recurrent,56482,74200,80000
2008,122,207,"Expenses of witnesses, prisoners and deportees","",,Recurrent,4127,5100,5500
2008,122,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",29210,93384,175469
2008,122,614,"Alterations, additions and improvements to in-service Marine Police craft (block vote)","",,"Plant, Equipment and Works",1058,1026,1200
2008,122,624,Repairs and improvements to land boundary fences,"",,"Plant, Equipment and Works",20,,500
2008,122,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",47758,68253,41344
2008,122,,General non-recurrent,"",,Non-Recurrent,160,202,
2008,136,000,Operational expenses,"",,Recurrent,14873,15634,17886
2008,137,000,Operational expenses,"",,Recurrent,,23852,53131
2008,137,700,General non-recurrent,"",,Non-Recurrent,,4848,10600
2008,138,000,Operational expenses,"",,Recurrent,81854,86720,96604
2008,139,000,Operational expenses,"",,Recurrent,,44607,65423
2008,140,000,Operational expenses,"",,Recurrent,,29256253,29997681
2008,140,700,General non-recurrent,"",,Non-Recurrent,,46472,49956
2008,140,869,Hospital Authority - information technology system for Chinese medicine outpatient clinics,"",,Subventions,,2545,3114
2008,140,874,Prince Philip Dental Hospital - information technology system,"",,Subventions,,1982,2732
2008,140,879,Prince Philip Dental Hospital - replacement of lift controllers and driving machines,"",,Subventions,,300,2920
2008,140,899,"Prince Philip Dental Hospital - minor plant, vehicles, equipment, maintenance, and improvement (block vote)","",,Subventions,,4763,6618
2008,140,979,Hospital Authority - equipment and information systems (block vote),"",,Subventions,,678000,699000
2008,140,979,Skills centres (block vote),"",,Subventions,,640,
2008,141,000,Operational expenses,"",,Recurrent,,831874,435820
2008,141,003,Recoverable salaries and allowances (General),1611,,Recurrent,,,
2008,141,700,General non-recurrent,"",,Non-Recurrent,,54980,57989
2008,141,864,Skills centres (block vote),"",,Subventions,,1919,4879
2008,142,000,Operational expenses,"",,Recurrent,514906,518173,496338
2008,142,700,General non-recurrent,"",,Non-Recurrent,17997,7558,2068
2008,142,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3991,,
2008,143,000,Operational expenses,"",,Recurrent,365606,406200,397637
2008,143,700,General non-recurrent,"",,Non-Recurrent,7498,5397,300
2008,144,000,Operational expenses,"",,Recurrent,102086,219532,345421
2008,144,700,General non-recurrent,"",,Non-Recurrent,11384,675,263
2008,147,000,Operational expenses,"",,Recurrent,131017,132394,146607
2008,147,281,Air passenger departure tax administration fees,"",,Recurrent,36848,39686,42130
2008,148,000,Operational expenses,"",,Recurrent,101351,103196,125592
2008,148,003,Recoverable salaries and allowances (General),4647,,Recurrent,,,
2008,148,700,General non-recurrent,"",,Non-Recurrent,1507,5655,1735
2008,151,000,Operational expenses,"",,Recurrent,118006,132636,160491
2008,151,,General non-recurrent,"",,Non-Recurrent,74,,
2008,152,000,Operational expenses,"",,Recurrent,458785,962977,1161060
2008,152,700,General non-recurrent,"",,Non-Recurrent,14006,21525,17195
2008,152,955,Consumer Council,"",,Subventions,,2400,1784
2008,152,970,Consumer Council (block vote),"",,Subventions,,,158
2008,155,000,Operational expenses,"",,Recurrent,389568,402097,426468
2008,155,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1847,2673,2530
2008,155,700,General non-recurrent,"",,Non-Recurrent,55152,65125,78945
2008,156,000,Operational expenses,"",,Recurrent,30780987,32943619,36270856
2008,156,003,Recoverable salaries and allowances (General),18530,,Recurrent,,,
2008,156,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,1122,2300
2008,156,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",3955,2251,
2008,156,700,General non-recurrent,"",,Non-Recurrent,1340381,1651700,828330
2008,156,700,Self-employment Business Start-up Assistance Scheme,"",,Non-Recurrent,30,,
2008,156,871,Vocational Training Council,"",,Subventions,15835,18577,7800
2008,156,873,Codes of Aid for existing schools,"",,Subventions,758,3300,3200
2008,156,880,Open University of Hong Kong,"",,Subventions,,44800,10000
2008,156,898,Codes of Aid for existing schools - furniture and equipment (block vote),"",,Subventions,1381,1797,1508
2008,156,900,"Codes of Aid for existing schools - maintenance, repairs and minor improvement (block vote)","",,Subventions,365834,380695,442669
2008,156,950,Hong Kong Examinations and Assessment Authority,"",,Subventions,89126,25428,47416
2008,156,976,Vocational Training Council (block vote),"",,Subventions,26649,26649,26649
2008,156,976,Hong Kong Council for Accreditation of Academic and Vocational Qualifications,"",,Subventions,,3720,
2008,158,000,Operational expenses,"",,Recurrent,73762,105124,119940
2008,158,700,General non-recurrent,"",,Non-Recurrent,630,3422,1753
2008,159,000,Operational expenses,"",,Recurrent,171324,183501,217795
2008,159,700,General non-recurrent,"",,Non-Recurrent,4939,1749,3322
2008,160,000,Operational expenses,"",,Recurrent,403371,421308,446327
2008,160,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",3500,2000,35860
2008,160,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",6589,9700,8570
2008,160,,General non-recurrent,"",,Non-Recurrent,1200,,
2008,162,000,Operational expenses,"",,Recurrent,345393,364382,386098
2008,162,700,General non-recurrent,"",,Non-Recurrent,,700,231
2008,162,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2036,,
2008,163,000,Operational expenses,"",,Recurrent,135446,240054,352739
2008,166,000,Operational expenses,"",,Recurrent,143143,150415,160676
2008,166,200,Insurance of aircraft,"",,Recurrent,1140,1101,1110
2008,166,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",1817,,23088
2008,166,631,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1209,,
2008,166,631,"Aircraft components, component overhaul and safety equipment (block vote)","",,"Plant, Equipment and Works",61796,63555,72406
2008,168,000,Operational expenses,"",,Recurrent,188093,197046,202194
2008,168,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4359,2640,1222
2008,169,000,Operational expenses,"",,Recurrent,4660,10371,11524
2008,170,000,Operational expenses,"",,Recurrent,9190866,9849513,11076597
2008,170,157,Assistance for patients and their families,"",,Recurrent,75,140,140
2008,170,176,Criminal and law enforcement injuries compensation,"",,Recurrent,6525,8600,8600
2008,170,177,Emergency relief,"",,Recurrent,226,1000,1000
2008,170,179,Comprehensive social security assistance scheme,"",,Recurrent,17637704,17890000,17267000
2008,170,180,Social security allowance scheme,"",,Recurrent,5516168,6080000,5982000
2008,170,184,Traffic accident victims assistance scheme,"",,Recurrent,24372,52613,50871
2008,170,187,Agents’ commission and expenses,"",,Recurrent,3133,3157,3278
2008,170,700,General non-recurrent,"",,Non-Recurrent,73982,17340,35041
2008,170,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",287,232,
2008,173,000,Operational expenses,"",,Recurrent,150018,178226,238744
2008,173,228,Student financial assistance,"",,Recurrent,2918404,2750600,2840621
2008,173,700,General non-recurrent,"",,Non-Recurrent,519116,534487,569857
2008,174,000,Operational expenses,"",,Recurrent,8612,13986,25791
2008,180,000,Operational expenses,"",,Recurrent,79641,89494,98926
2008,180,700,General non-recurrent,"",,Non-Recurrent,12020,18170,48894
2008,181,000,Operational expenses,"",,Recurrent,224805,246671,265376
2008,181,700,General non-recurrent,"",,Non-Recurrent,215828,183203,189019
2008,181,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",18,,
2008,184,988,Payment to the Loan Fund,"",,Capital Account,50000,800000,700000
2008,184,990,Payment to the Disaster Relief Fund,"",,Capital Account,16400,266800,40400
2008,186,000,Operational expenses,"",,Recurrent,842418,876252,1061653
2008,186,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",5455,28164,21218
2008,186,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4089,2500,1980
2008,186,700,General non-recurrent,"",,Non-Recurrent,4259,2932,1942
2008,186,927,Hong Kong Society for Rehabilitation - rehabuses (block vote),"",,Subventions,6778,9831,22081
2008,188,000,Operational expenses,"",,Recurrent,301211,294043,326966
2008,188,003,Recoverable salaries and allowances (General),5426,,Recurrent,,,
2008,188,187,Agents’ commission and expenses,"",,Recurrent,3327,3602,4127
2008,188,,General non-recurrent,"",,Non-Recurrent,555,474,
2008,190,000,Operational expenses,"",,Recurrent,11289912,11588197,11325628
2008,190,700,General non-recurrent,"",,Non-Recurrent,899363,604925,600775
2008,194,000,Operational expenses,"",,Recurrent,2569987,2643492,2639138
2008,194,223,Purchase of water,"",,Recurrent,2494800,2494800,2494800
2008,194,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",50,,4830
2008,194,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",662,,
