year,head_no,subhead_name,subhead_no,item_no,title,note_actual,note_original,note_revised,note_estimate,reimbursement,actual,approved,revised,estimate
2007,11,Services to Electrical and Mechanical Services Trading Fund,042,025,Electrical and Mechanical Services Department,,,,,,26846,30674,31968,31321
2007,11,Others,044,030,Environmental Protection Department,,,,,,424,329,323,302
2007,11,Chemical waste charging scheme,044,010,Environmental Protection Department,,,,,,39262,40000,33000,33000
2007,11,MARPOL waste charging scheme,044,015,Environmental Protection Department,,,,,,18414,20000,33000,33000
2007,11,Waste disposal charges,044,017,Environmental Protection Department,,,,,,8545,16600,16600,34600
2007,11,Licence and permit fees,044,020,Environmental Protection Department,,,,,,8245,9611,9399,9224
2007,11,Official certificates and fire reports,045,012,Fire Services Department,,,,,,5140,5256,5481,5713
2007,11,Others,045,020,Fire Services Department,,,,,,550,598,637,641
2007,11,Dangerous goods licences,045,010,Fire Services Department,,,,,,9862,9640,10608,11141
2007,11,Government Secretariat: Office of the Government Chief Information Officer,047,,Fire Services Department,,,,,,3814,2886,2814,2890
2007,11,Others,048,020,Government Laboratory,,,,,,5450,6022,5645,5585
2007,11,Services to the Hospital Authority,048,015,Government Laboratory,,,,,,14079,7515,6892,7186
2007,11,Cemeteries and crematoria,049,030,Food and Environmental Hygiene Department,,,,,,58546,68867,75000,62988
2007,11,Licences and permits,049,010,Food and Environmental Hygiene Department,,,,,,244759,245320,244728,243312
2007,11,Meat inspection,049,020,Food and Environmental Hygiene Department,,,,,,27424,27720,27108,27108
2007,11,Others,049,040,Food and Environmental Hygiene Department,,,,,,3915,3213,1903,2048
2007,11,Management and air conditioning charges,051,010,Government Property Agency,,,,,,75058,69538,72104,70549
2007,11,Others,051,020,Government Property Agency,,,,,,5532,3794,5302,5271
2007,11,Government transport,059,030,Government Logistics Department,,,,,,15755,16116,16971,17274
2007,11,Printing services,059,010,Government Logistics Department,,,,,,220678,205363,211414,219991
2007,11,Advertisements,059,020,Government Logistics Department,,,,,,24978,22485,23241,23009
2007,11,Others,059,040,Government Logistics Department,,,,,,12432,10941,9517,9210
2007,11,Excavation permits,060,020,Highways Department,,,,,,122169,134300,133800,133800
2007,11,Works executed on private account,060,010,Highways Department,,,,,,1919,1500,1100,1100
2007,11,Others,060,030,Highways Department,,,,,,1336,1470,1470,1470
2007,11,Others,063,030,Home Affairs Department,,,,,,1195,1286,1456,1501
2007,11,Guesthouse licences,063,015,Home Affairs Department,,,,,,8564,4920,5797,5930
2007,11,Clubhouse certificates,063,016,Home Affairs Department,,,,,,12916,13499,12876,13564
2007,11,Karaoke establishments licences and permits,063,020,Home Affairs Department,,,,,,52,54,85,96
2007,11,Marriage registration fees,070,080,Immigration Department,,,,,,73842,73244,73439,76369
2007,11,Chinese nationality applications,070,012,Immigration Department,,,,,,4842,7179,5309,6480
2007,11,Travel documents,070,020,Immigration Department,,,,,,158428,186562,215923,300689
2007,11,"Visas, entry permits and extension of stay",070,030,Immigration Department,,,,,,93676,102563,104264,116604
2007,11,Certification fees,070,040,Immigration Department,,,,,,4312,4891,4764,5795
2007,11,Replacement of identity cards,070,060,Immigration Department,,,,,,47407,45049,38992,35732
2007,11,Births and deaths registration fees,070,070,Immigration Department,,,,,,27360,28045,30207,33284
2007,11,Others,070,090,Immigration Department,,,,,,26338,26681,26919,27465
2007,11,Sale of publications,074,010,Information Services Department,,,,,,11772,10073,10073,9573
2007,11,Others,074,020,Information Services Department,,,,,,1843,880,730,730
2007,11,Business registration fees,076,010,Inland Revenue Department,,,,,,1478755,1450000,1470000,1500000
2007,11,Others,076,020,Inland Revenue Department,,,,,,15076,16753,18436,16113
2007,11,Patents fees,078,010,Intellectual Property Department,,,,,,14310,13827,14844,14867
2007,11,Trade marks fees,078,020,Intellectual Property Department,,,,,,76845,72171,82736,82179
2007,11,Registered designs fees,078,030,Intellectual Property Department,,,,,,7730,7740,7711,7737
2007,11,Others,078,040,Intellectual Property Department,,,,,,167,55,79,79
2007,11,Commission,080,010,Judiciary,,,,,,12369,14040,9522,9522
2007,11,Court fees,080,020,Judiciary,,,,,,186652,116130,177390,117065
2007,11,Possession,080,030,Judiciary,,,,,,710,680,647,647
2007,11,Others,080,040,Judiciary,,,,,,13409,13430,14510,14510
2007,11,Buildings Ordinance fees,082,010,Buildings Department,,,,,,162126,166296,199334,198931
2007,11,Works executed on private account,082,020,Buildings Department,,,,,,122,50,11,8
2007,11,Others,082,030,Buildings Department,,,,,,695,442,388,424
2007,11,Labour Department,090,,Buildings Department,,,,,,23429,21003,20860,19770
2007,11,Services to KCRC,091,042,Lands Department,,,,,,59331,44963,46894,50756
2007,11,Administrative and legal land services,091,010,Lands Department,,,,,,37390,31675,46965,35355
2007,11,Lands Department consent fees and Government lease fees,091,012,Lands Department,,,,,,8709,7489,5235,6935
2007,11,Administrative fees for conveyancing services for FSI,091,013,Lands Department,,,,,,142,120,760,265
2007,11,Excavation permits,091,020,Lands Department,,,,,,10140,9445,10873,11020
2007,11,Works executed on private account,091,040,Lands Department,,,,,,530,551,1132,1126
2007,11,Services to MTRCL,091,046,Lands Department,,,,,,8779,6722,5705,6184
2007,11,Others,091,050,Lands Department,,,,,,18345,19477,16011,15652
2007,11,Department of Justice,092,,Lands Department,,,,,,2528,1890,2217,3237
2007,11,Legal Aid Department,094,,Lands Department,,,,,,189041,173000,185300,192700
2007,11,Admission and hire charges,095,010,Leisure and Cultural Services Department,,,,,,533154,510434,519509,529743
2007,11,Programme entry fees for recreational and sports activities,095,020,Leisure and Cultural Services Department,,,,,,38465,37910,37487,38024
2007,11,Licences,095,030,Leisure and Cultural Services Department,,,,,,622,716,673,673
2007,11,Others,095,040,Leisure and Cultural Services Department,,,,,,35569,28206,32160,27666
2007,11,Anchorage,100,010,Marine Department,,,,,,29394,19000,18500,18000
2007,11,Buoy,100,020,Marine Department,,,,,,29546,28200,28200,28200
2007,11,Permit fees,100,030,Marine Department,,,,,,115816,78922,109816,83616
2007,11,Cargo working area charges,100,040,Marine Department,,,,,,158451,166234,161489,158965
2007,11,Examination and registration fees,100,050,Marine Department,,,,,,66032,75210,76052,77070
2007,11,Vessel licences,100,070,Marine Department,,,,,,32635,30800,32000,30400
2007,11,Port and light dues,100,080,Marine Department,,,,,,228249,210000,217700,218900
2007,11,Port clearance fees,100,090,Marine Department,,,,,,23063,22600,23000,23900
2007,11,Survey fees,100,100,Marine Department,,,,,,27554,20704,25728,22953
2007,11,Others,100,110,Marine Department,,,,,,5100,4319,4505,4313
2007,11,Bankruptcy,116,010,Official Receiver’s Office,,,,,,130007,94800,119800,124300
2007,11,Liquidation,116,020,Official Receiver’s Office,,,,,,33633,57700,40700,40400
2007,11,Others,116,030,Official Receiver’s Office,,,,,,430,500,500,500
2007,11,Certificates of no criminal record,122,010,Hong Kong Police Force,,,,,,4287,4805,4114,4114
2007,11,Establishments and trades licences,122,020,Hong Kong Police Force,,,,,,1425,1252,1112,1096
2007,11,Security personnel permits,122,025,Hong Kong Police Force,,,,,,9205,9286,10901,10901
2007,11,Others,122,030,Hong Kong Police Force,,,,,,4918,4939,4947,4947
2007,11,Translation and interpretation services,143,010,Government Secretariat: Civil Service Bureau,,,,,,5466,6056,5937,5780
2007,11,Training and development services,143,020,Government Secretariat: Civil Service Bureau,,,,,,1270,1111,1039,1000
2007,11,Others,143,030,Government Secretariat: Civil Service Bureau,,,,,,21,501,370,485
2007,11,Government Secretariat: Economic Development and Labour Bureau (Economic Development Branch),145,,Government Secretariat: Civil Service Bureau,,,,,,8910,8900,8932,8976
2007,11,Insurance companies,148,010,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,42795,42114,41660,42569
2007,11,Others,148,030,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,11,4,2,2
2007,11,Security companies,151,010,Government Secretariat: Security Bureau,,,,,,15701,15190,15690,15357
2007,11,Others,151,090,Government Secretariat: Security Bureau,,,,,,20,21,46,47
2007,11,Government Secretariat: Innovation and Technology Commission,155,,Government Secretariat: Security Bureau,,,,,,5767,5338,5697,5753
2007,11,School fees for senior secondary classes,156,011,Government Secretariat: Education and Manpower Bureau,,,,,,73651,71888,73549,76350
2007,11,School fees for adult education courses,156,015,Government Secretariat: Education and Manpower Bureau,,,,,,581,,,
2007,11,Grant and subsidised schools provident funds—supervision fees,156,020,Government Secretariat: Education and Manpower Bureau,,,,,,3437,3517,3497,3567
2007,11,Others,156,030,Government Secretariat: Education and Manpower Bureau,,,,,,4188,2936,2965,3642
2007,11,Radio Television Hong Kong,160,,Government Secretariat: Education and Manpower Bureau,,,,,,476,512,492,492
2007,11,Rating and Valuation Department,162,,Government Secretariat: Education and Manpower Bureau,,,,,,4308,4097,4367,4367
2007,11,Services to the Airport Authority,168,010,Hong Kong Observatory,,,,,,79061,81610,77706,78092
2007,11,Others,168,020,Hong Kong Observatory,,,,,,1815,1538,1713,1570
2007,11,Traffic Accident Victims Assistance Scheme administration fee,170,010,Social Welfare Department,,,,,,13137,13213,13637,13521
2007,11,Others,170,020,Social Welfare Department,,,,,,3480,3576,3543,3543
2007,11,Student Financial Assistance Agency,173,,Social Welfare Department,,,,,,15594,20999,17915,21383
2007,11,Entertainment licences,180,010,Television and Entertainment Licensing Authority,,,,,,17902,18281,18612,18963
2007,11,Film censorship fees,180,020,Television and Entertainment Licensing Authority,,,,,,2689,2564,2367,2367
2007,11,Broadcasting licences,180,025,Television and Entertainment Licensing Authority,,,,,,33982,31032,32861,32243
2007,11,Others,180,030,Television and Entertainment Licensing Authority,,,,,,1781,1664,1321,1507
2007,11,Application fees for certificates of origin,181,010,Trade and Industry Department,,,,,,4382,5304,4728,4822
2007,11,Application fees for textile export licences,181,030,Trade and Industry Department,,,,,,3306,3803,3130,3007
2007,11,Others,181,040,Trade and Industry Department,,,,,,72543,70598,68802,46435
2007,11,"Transfer of vehicle and registration mark, driving test and permits",186,030,Transport Department,,,,,,257401,229207,245635,247247
2007,11,Vehicle and driving licences,186,010,Transport Department,,,,,,2775240,2769548,2820294,3104687
2007,11,Traffic Accident Victims Assistance Scheme administration fee,186,040,Transport Department,,,,,,982,1156,1094,1104
2007,11,Vehicle examination fees,186,050,Transport Department,,,,,,59939,60524,59021,59601
2007,11,Personalized vehicle registration mark,186,055,Transport Department,,,,,,,52500,35000,70000
2007,11,Others,186,060,Transport Department,,,,,,10856,10978,10964,10890
2007,11,Others,188,040,Treasury,,,,,,37819,38998,37414,36867
2007,11,Differences in exchange,188,030,Treasury,,,,,,1413,15,15,15
2007,11,Other bureaux/departments,200,,Treasury,,,,,,9711,7423,14987,14928
2008,1,Hydrocarbon oils,010,,,,,,,,3319793,3304238,3372169,3131250
2008,1,Alcoholic beverages,020,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,926815,657139,703140,190160
2008,1,Other alcohol products,030,,,,,,,,6004,4838,6000,6000
2008,1,Tobacco,050,,,,,,,,2770357,2322581,2810804,2871286
2008,2,General Rates,030,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,15467273,11552000,9273000,7333000
2008,3,Bets and sweeps tax,010,,,,,,,,12047359,12210000,13031000,13128000
2008,3,Salaries tax,030,050,Earnings and profits tax,,,,,,38585592,29980000,37000000,26380000
2008,3,Profits tax,030,020,Earnings and profits tax,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,71919044,77500000,89000000,83270000
2008,3,Personal assessment,030,030,Earnings and profits tax,,,,,,3565621,3200000,3400000,2600000
2008,3,Property tax,030,040,Earnings and profits tax,,,,,,1247373,1300000,1250000,620000
2008,3,Estate duty,050,,Earnings and profits tax,,,,,,777671,200000,230000,85000
2008,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,384248,400000,440000,115000
2008,3,Stamp duties,070,,Earnings and profits tax,,,,,,25076549,22650000,50000000,35000000
2008,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1531179,1632610,1655451,1752517
2008,4,First registration,010,,,,,,† After Budget revenue measures.,,4334659,4464610,5320737,5570100
2008,5,Court fines and statutory penalties,010,,,,,,,,526340,525727,483296,478453
2008,5,Forfeitures,020,,,,,,,,45454,40644,39989,39936
2008,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,220021,217179,231212,243004
2008,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,213756,206954,231054,249769
2008,5,Payments by civil servants,050,,,,,,,,3127,2549,2393,2315
2008,6,Quarries and mining,020,,,,,,,,29841,32700,44700,44600
2008,6,Bridges and tunnels,030,,,,,,,,17337,66009,17368,95345
2008,6,Petrol filling,070,,,,,,,,5844,5706,3219,1408
2008,6,Television broadcasting,090,,,,,,,,,,,1237
2008,6,Parking,100,,,,,,,,315251,308592,319448,318270
2008,6,Vehicle examination,170,,,,,,,,51933,55330,56453,56453
2008,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2008,6,Other royalties and concessions,202,,,,,,,,173258,296494,404010,337101
2008,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,1636714,1471418,1495916,1523404
2008,7,Rents from government quarters,020,,,,,,,,673091,661250,711528,690990
2008,7,Rents from government properties,030,,,,,,,,1066980,1012215,1041160,1061875
2008,7,Investment income and interest,040,,,,,,,,10560124,10041270,11965930,22947417
2008,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,2159174,2224160,2364586,2593718
2008,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,75891,136153,4521677,482918
2008,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,5744319,5213000,5365400,5939000
2008,9,Repayments of loans and advances,010,,,,,,,,117176,2579,3434,1022
2008,9,Pension contributions,020,,,,,,,,16786,15077,16149,14732
2008,9,Recovery of salaries and staff on-costs,030,,,,,,,,2015852,2054834,2138502,2179873
2008,9,Light and fuel in government buildings,040,,,,,,,,24738,25222,24567,23118
2008,9,Recovery of overpayments and losses,050,,,,,,,,561426,378936,476481,346455
2008,9,Transfers from Funds,080,,,,,,,,2100000,31800000,31600000,21700000
2008,9,Other receipts,090,,,,,,,,3465596,1997365,3564796,4394106
2008,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,117446,77034,230062,132282
2008,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2856,2927,2930,3029
2008,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,302,90,195,195
2008,10,Berthing fee,040,010,Marine ferry terminals,,,,,,40038,44368,42984,58137
2008,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,172447,150811,166043,141723
2008,10,Others,040,030,Marine ferry terminals,,,,,,5683,5825,6613,6805
2008,10,Fees and licences,070,020,Waterworks,,,,,,13777,11000,14094,14475
2008,10,Chargeable water,070,010,Waterworks,,,,,,2407087,2521000,2462000,2528000
2008,10,Others,070,040,Waterworks,,,,,,27140,15500,12965,12649
2008,10,Sewage charge,080,010,Sewage services,,,,,,462644,510375,472300,524800
2008,10,Trade effluent surcharge,080,020,Sewage services,,,,,,205104,190075,215800,225100
2008,10,Others,080,030,Sewage services,,,,,,1755,2180,2270,2330
2008,11,Markets,022,010,"Agriculture, Fisheries and Conservation Department",,,,,,64292,61849,62678,62475
2008,11,Agricultural services and products,022,020,"Agriculture, Fisheries and Conservation Department",,,,,,413,180,744,835
2008,11,Others,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,46770,41629,33259,32848
2008,11,Audit Commission,024,,"Agriculture, Fisheries and Conservation Department",,,,,,3026,3063,3241,3358
2008,11,Services to trading funds and subvented projects,025,025,Architectural Services Department,,,,,,5420,3390,4881,2906
2008,11,Others,025,030,Architectural Services Department,,,,,,769,686,367,367
2008,11,Census and Statistics Department,026,,Architectural Services Department,,,,,,7336,11581,16294,11082
2008,11,Civil Aid Service,027,,Architectural Services Department,,,,,,83,102,89,89
2008,11,Services to the Airport Authority,028,010,Civil Aviation Department,,,,,,626198,664242,657666,698070
2008,11,Aircraft en route navigation charges,028,020,Civil Aviation Department,,,,,,184377,199781,200002,217029
2008,11,Licences,028,030,Civil Aviation Department,,,,,,60510,64824,66489,70484
2008,11,Others,028,040,Civil Aviation Department,,,,,,1095,1195,1618,1776
2008,11,Recovery other than cost of raw materials for correctional services industries,030,010,Correctional Services Department,,,,,,367,135,260,200
2008,11,Laundry charges,030,015,Correctional Services Department,,,,,,2893,2925,2863,2863
2008,11,Others,030,020,Correctional Services Department,,,,,,317,327,325,325
2008,11,Import and export declarations,031,010,Customs and Excise Department,,,,,,1161197,1191705,1237551,1247479
2008,11,Bonded warehouse supervision charges,031,020,Customs and Excise Department,,,,,,232,265,219,219
2008,11,Clothing industry training levy service charges,031,030,Customs and Excise Department,,,,,,735,735,683,683
2008,11,Denaturing fees,031,040,Customs and Excise Department,,,,,,266,197,303,303
2008,11,Import and export licences,031,071,Customs and Excise Department,,,,,,3199,2807,3758,3758
2008,11,Warehouse licences,031,072,Customs and Excise Department,,,,,,633,597,674,674
2008,11,Miscellaneous licences,031,080,Customs and Excise Department,,,,,,1463,1527,1546,1540
2008,11,Storage fees,031,090,Customs and Excise Department,,,,,,10,20,5,5
2008,11,Others,031,100,Customs and Excise Department,,,,,,16566,16121,20857,21142
2008,11,Hong Kong companies registration fees,032,010,Companies Registry,,,,,,70014,68281,84517,85337
2008,11,Works executed on private account,033,010,Civil Engineering and Development Department,,,,,,219498,63000,122016,414
2008,11,"Dangerous goods, mining and prospecting licences",033,011,Civil Engineering and Development Department,,,,,,1220,1300,1300,1350
2008,11,Explosives permit and storage fees,033,012,Civil Engineering and Development Department,,,,,,7597,7890,7890,7500
2008,11,Mud disposal,033,013,Civil Engineering and Development Department,,,,,,19348,9007,11570,8862
2008,11,Disposal of construction waste at public fill reception facilities,033,014,Civil Engineering and Development Department,,,,,,39288,89000,89000,148000
2008,11,Others,033,030,Civil Engineering and Development Department,,,,,,192,205,224,188
2008,11,"Dangerous drugs, pharmacy, poisons and other licences",037,010,Department of Health,,,,,,18944,18907,19079,19649
2008,11,Out-patient charges,037,030,Department of Health,,,,,,32052,34407,34590,34679
2008,11,Dental charges,037,040,Department of Health,,,,,,9403,9250,9250,8850
2008,11,"Medical and health charges other than hospital, out-patient and dental charges",037,050,Department of Health,,,,,,26833,27531,27022,27191
2008,11,Registrations and certificates of medical and supplementary medical professionals,037,060,Department of Health,,,,,,22809,20579,23129,24174
2008,11,Others,037,070,Department of Health,,,,,,731,547,467,474
2008,11,Works executed on private account,039,010,Drainage Services Department,,,,,,108,85,58,60
2008,11,Others,039,030,Drainage Services Department,,,,,,946,870,992,999
2008,11,Services to Electrical and Mechanical Services Trading Fund,042,025,Electrical and Mechanical Services Department,,,,,,34504,31321,31321,32574
2008,11,"Registration, certification and permit fees",042,027,Electrical and Mechanical Services Department,,,,,,33167,42638,43277,39110
2008,11,Others,042,030,Electrical and Mechanical Services Department,,,,,,7,11,11,11
2008,11,Chemical waste charging scheme,044,010,Environmental Protection Department,,,,,,33162,33000,32000,35000
2008,11,MARPOL waste charging scheme,044,015,Environmental Protection Department,,,,,,36778,33000,33000,33000
2008,11,Waste disposal charges,044,017,Environmental Protection Department,,,,,,21903,34600,33700,39700
2008,11,Licence and permit fees,044,020,Environmental Protection Department,,,,,,9159,9224,9160,8954
2008,11,Others,044,030,Environmental Protection Department,,,,,,366,302,2742,569
2008,11,Dangerous goods licences,045,010,Fire Services Department,,,,,,10003,11141,10156,10156
2008,11,Official certificates and fire reports,045,012,Fire Services Department,,,,,,5375,5713,5612,5612
2008,11,Others,045,020,Fire Services Department,,,,,,597,641,774,774
2008,11,Government Secretariat: Office of the Government Chief Information Officer,047,,Fire Services Department,,,,,,2657,2890,3395,3423
2008,11,Services to the Hospital Authority,048,015,Government Laboratory,,,,,,7084,7186,7186,7997
2008,11,Others,048,020,Government Laboratory,,,,,,4951,5585,5585,5296
2008,11,Licences and permits,049,010,Food and Environmental Hygiene Department,,,,,,240584,243312,240981,239454
2008,11,Meat inspection,049,020,Food and Environmental Hygiene Department,,,,,,26496,27108,24574,25076
2008,11,Cemeteries and crematoria,049,030,Food and Environmental Hygiene Department,,,,,,73383,62988,57436,63696
2008,11,Others,049,040,Food and Environmental Hygiene Department,,,,,,2124,2048,2829,2712
2008,11,Management and air conditioning charges,051,010,Government Property Agency,,,,,,79297,70549,69334,69247
2008,11,Others,051,020,Government Property Agency,,,,,,5394,5271,5430,5430
2008,11,Printing services,059,010,Government Logistics Department,,,,,,214854,219991,223166,223166
2008,11,Advertisements,059,020,Government Logistics Department,,,,,,22095,23009,24689,24993
2008,11,Government transport,059,030,Government Logistics Department,,,,,,16361,17274,16601,18479
2008,11,Others,059,040,Government Logistics Department,,,,,,9447,9210,15137,10135
2008,11,Works executed on private account,060,010,Highways Department,,,,,,2622,1100,900,900
2008,11,Excavation permits,060,020,Highways Department,,,,,,118953,133800,114600,114600
2008,11,Others,060,030,Highways Department,,,,,,2542,1470,1600,1600
2008,11,Guesthouse licences,063,015,Home Affairs Department,,,,,,5737,5930,5875,9542
2008,11,Clubhouse certificates,063,016,Home Affairs Department,,,,,,11563,13564,13984,14048
2008,11,Karaoke establishments licences and permits,063,020,Home Affairs Department,,,,,,54,96,25,19
2008,11,Others,063,030,Home Affairs Department,,,,,,1453,1501,1582,1686
2008,11,Chinese nationality applications,070,012,Immigration Department,,,,,,5170,6480,4703,5107
2008,11,Travel documents,070,020,Immigration Department,,,,,,170804,300689,226350,270369
2008,11,"Visas, entry permits and extension of stay",070,030,Immigration Department,,,,,,103058,116604,118363,129740
2008,11,Certification fees,070,040,Immigration Department,,,,,,4801,5795,5611,6869
2008,11,Replacement of identity cards,070,060,Immigration Department,,,,,,38890,35732,34801,32548
2008,11,Births and deaths registration fees,070,070,Immigration Department,,,,,,30835,33284,31718,34512
2008,11,Marriage registration fees,070,080,Immigration Department,,,,,,71998,76369,58319,56734
2008,11,Others,070,090,Immigration Department,,,,,,26172,27465,29348,29438
2008,11,Sale of publications,074,010,Information Services Department,,,,,,10104,9573,9612,9082
2008,11,Others,074,020,Information Services Department,,,,,,624,730,640,620
2008,11,Business registration fees,076,010,Inland Revenue Department,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,1497902,1500000,1550000,120000
2008,11,Others,076,020,Inland Revenue Department,,,,,,17842,16113,14154,16594
2008,11,Patents fees,078,010,Intellectual Property Department,,,,,,15124,14867,16326,16103
2008,11,Trade marks fees,078,020,Intellectual Property Department,,,,,,82910,82179,85777,85720
2008,11,Registered designs fees,078,030,Intellectual Property Department,,,,,,7856,7737,8075,7942
2008,11,Others,078,040,Intellectual Property Department,,,,,,93,79,25,25
2008,11,Commission,080,010,Judiciary,,,,,,8480,9522,5929,5802
2008,11,Court fees,080,020,Judiciary,,,,,,201361,117065,145868,145868
2008,11,Possession,080,030,Judiciary,,,,,,614,647,553,553
2008,11,Others,080,040,Judiciary,,,,,,13956,14510,10491,10490
2008,11,Buildings Ordinance fees,082,010,Buildings Department,,,,,,174879,198931,199082,200139
2008,11,Works executed on private account,082,020,Buildings Department,,,,,,208,8,30,30
2008,11,Others,082,030,Buildings Department,,,,,,615,424,447,375
2008,11,Labour Department,090,,Buildings Department,,,,,,20882,19770,20309,20768
2008,11,Administrative and legal land services,091,010,Lands Department,,,,,,47097,35355,45772,39066
2008,11,Lands Department consent fees and Government lease fees,091,012,Lands Department,,,,,,4516,6935,7949,2987
2008,11,Administrative fees for conveyancing services for FSI,091,013,Lands Department,,,,,,824,265,172,122
2008,11,Excavation permits,091,020,Lands Department,,,,,,10798,11020,10509,10621
2008,11,Works executed on private account,091,040,Lands Department,,,,,,1327,1126,1542,385
2008,11,Services to KCRC,091,042,Lands Department,,,,,,46643,50756,39842,43047
2008,11,Services to MTRCL,091,046,Lands Department,,,,,,5677,6184,8670,8613
2008,11,Others,091,050,Lands Department,,,,,,17680,15652,21436,18262
2008,11,Department of Justice,092,,Lands Department,,,,,,1042,3237,11354,4796
2008,11,Legal Aid Department,094,,Lands Department,,,,,,187428,192700,193200,194000
2008,11,Admission and hire charges,095,010,Leisure and Cultural Services Department,,,,,,544922,529743,563172,433934
2008,11,Programme entry fees for recreational and sports activities,095,020,Leisure and Cultural Services Department,,,,,,37041,38024,38067,38387
2008,11,Licences,095,030,Leisure and Cultural Services Department,,,,,,607,673,619,619
2008,11,Others,095,040,Leisure and Cultural Services Department,,,,,,34166,27666,27266,23186
2008,11,Anchorage,100,010,Marine Department,,,,,,15381,18000,15070,15070
2008,11,Buoy,100,020,Marine Department,,,,,,28814,28200,29051,29051
2008,11,Permit fees,100,030,Marine Department,,,,,,116032,83616,118699,118699
2008,11,Cargo working area charges,100,040,Marine Department,,,,,,156068,158965,145953,145953
2008,11,Examination and registration fees,100,050,Marine Department,,,,,,69024,77070,74705,74585
2008,11,Vessel licences,100,070,Marine Department,,,,,,32084,30400,33046,33046
2008,11,Port and light dues,100,080,Marine Department,,,,,,227583,218900,234000,234000
2008,11,Port clearance fees,100,090,Marine Department,,,,,,22487,23900,22470,22470
2008,11,Survey fees,100,100,Marine Department,,,,,,25789,22953,29726,26794
2008,11,Others,100,110,Marine Department,,,,,,4672,4313,4357,4159
2008,11,Bankruptcy,116,010,Official Receiver’s Office,,,,,,151181,124300,105500,93500
2008,11,Liquidation,116,020,Official Receiver’s Office,,,,,,26664,40400,41000,37400
2008,11,Others,116,030,Official Receiver’s Office,,,,,,215,500,400,400
2008,11,Certificates of no criminal record,122,010,Hong Kong Police Force,,,,,,3820,4114,4197,4197
2008,11,Establishments and trades licences,122,020,Hong Kong Police Force,,,,,,1123,1096,1026,1026
2008,11,Security personnel permits,122,025,Hong Kong Police Force,,,,,,9957,10901,9569,9569
2008,11,Others,122,030,Hong Kong Police Force,,,,,,5060,4947,5280,5280
2008,11,Translation and interpretation services,143,010,Government Secretariat: Civil Service Bureau,,,,,,6196,5780,5377,5583
2008,11,Training and development services,143,020,Government Secretariat: Civil Service Bureau,,,,,,1145,1000,1100,1100
2008,11,Others,143,030,Government Secretariat: Civil Service Bureau,,,,,,13,485,421,467
2008,11,Government Secretariat: Economic Development and Labour Bureau (Economic Development Branch),145,,Government Secretariat: Civil Service Bureau,,,,,,8674,8976,1552,
2008,11,Insurance companies,148,010,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,43250,42569,43250,43250
2008,11,Others,148,030,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,1,2,1,1
2008,11,Security companies,151,010,Government Secretariat: Security Bureau,,,,,,14978,15357,14820,14535
2008,11,Others,151,090,Government Secretariat: Security Bureau,,,,,,46,47,23,22
2008,11,"Government Secretariat: Commerce and Economic Development Bureau (Commerce, Industry and Tourism Branch)",152,,Government Secretariat: Security Bureau,,,,,,,,7431,9011
2008,11,Government Secretariat: Innovation and Technology Commission,155,,Government Secretariat: Security Bureau,,,,,,6110,5753,6166,6254
2008,11,School fees for senior secondary classes,156,011,Government Secretariat: Education Bureau,,,,,,76048,76350,77413,12003
2008,11,Grant and subsidised schools provident funds—supervision fees,156,020,Government Secretariat: Education Bureau,,,,,,3513,3567,3661,3923
2008,11,Others,156,030,Government Secretariat: Education Bureau,,,,,,3064,3642,3074,3296
2008,11,Radio Television Hong Kong,160,,Government Secretariat: Education Bureau,,,,,,374,492,674,674
2008,11,Rating and Valuation Department,162,,Government Secretariat: Education Bureau,,,,,,4223,4367,4347,4348
2008,11,Services to the Airport Authority,168,010,Hong Kong Observatory,,,,,,77000,78092,81554,78993
