head_no,programme_no,year_start,year_end,programme_aim
53,2,2006,2007,The aim is to formulate and implement policies on the rights of the individual.
53,2,2008,2010,"The aims are to promote the development of social enterprise (SE) to foster a caring culture in society and enhance job opportunities for the socially disadvantaged, to promote civic education and national education, social harmony, and youth development."
53,2,2011,2011,"The aims are to promote the development of social enterprises (SEs), to promote civic education, national education, social harmony and youth development."
53,2,2012,2014,"The aims are to promote the development of social enterprises (SEs), civic education, national education, social harmony and youth development."
53,2,2013,2013,"The aims are to promote the development of social enterprises (SEs), civic education, national education, social harmony, and youth development."
53,3,2006,2007,The aim is to formulate and develop policy in respect of information.
53,3,2008,2014,"The primary objective is to formulate and oversee the implementation of the policy in respect of district administration and community building in Hong Kong, and legal aid."
53,4,2006,2007,The primary objective is to formulate and oversee the implementation of the policy in respect of district administration and community building in Hong Kong.
53,4,2008,2009,"The aim is to promote the development of recreation and sport in Hong Kong on all fronts, and to provide a business-friendly and effective regulatory regime in respect of various types of places of public entertainment."
53,4,2010,2014,"The aim is to support and promote the further development of sport in Hong Kong, to co-ordinate the provision of sports and recreational facilities and to provide a business-friendly and effective regulatory regime in respect of various types of places of public entertainment."
53,5,2006,2007,The aim is to co-ordinate and implement measures to promote youth development.
53,5,2008,2014,"The aims are to promote and develop arts and culture, and protect intangible cultural heritage in Hong Kong."
53,6,2006,2006,"The aim is to formulate policy and to oversee the promotion and development of recreation and sport at all levels throughout the community, and to ensure quality and effectiveness in policy formulation, co-ordination and monitoring of policy implementation on entertainment licensing."
53,6,2007,2007,"The aim is to promote the development of recreation and sport in Hong Kong on all fronts, and to provide a business-friendly and effective regulatory regime in respect of various types of places of public entertainment."
53,6,2008,2009,The aim is to enable the HKSIL to provide an environment for the elite athletes to achieve the highest performance in sports.
53,6,2010,2012,The aim is to enable the HKSIL to provide the facilities and training support that will allow elite athletes to perform at the highest levels.
53,6,2013,2014,The aim is to enable the HKAPA to develop and promote professional artistic quality through the education of students for career as professionals in performing arts under the Hong Kong Academy for Performing Arts Ordinance (Cap. 1135).
53,7,2006,2006,The aim is to promote and develop arts and culture as well as heritage preservation in Hong Kong.
53,7,2007,2007,The aim is to promote and develop the arts and culture as well as heritage preservation in Hong Kong.
53,7,2008,2009,The aim is to enable the HKAPA to develop and promote professional artistic standards through the education and training of students for careers as professionals in performing arts under the HKAPA Ordinance.
53,7,2010,2010,The aim is to enable the HKAPA to develop and promote professional artistic quality through the education of students for careers as professionals in performing arts under the HKAPA Ordinance.
53,7,2011,2011,The aim is to enable the HKAPA to develop and promote professional artistic quality through the education of students for careers as professionals in performing arts under the HKAPA Ordinance (Cap. 1135).
53,7,2012,2012,The aim is to enable the HKAPA to develop and promote professional artistic quality through the education of students for career as professionals in performing arts under the Hong Kong Academy for Performing Arts Ordinance (Cap. 1135).
53,7,2013,2014,The aim is to enable the HKADC to promote and develop culture and the arts in Hong Kong under the Hong Kong Arts Development Council Ordinance (Cap. 472).
53,8,2006,2007,The aim is to enable the HKSIL to provide an environment for the elite athletes to achieve the highest performance in sports.
53,9,2006,2007,The aim is to enable the HKAPA to develop and promote professional artistic standards through the education and training of students for careers as professionals in performing arts under the Hong Kong Academy for Performing Arts Ordinance.
55,1,2006,2007,The aim is to promote the development of the broadcasting and film industries and enhance Hong Kong’s position as a broadcasting and film production centre.
55,1,2008,2010,"The aim is to promote the development of broadcasting, film and creative industries and enhance Hong Kong’s position as a broadcasting and film production centre and a creative capital."
55,1,2011,2014,The aim is to promote the development of broadcasting and creative industries and enhance Hong Kong’s position as a broadcasting and creative capital.
55,2,2006,2014,The aim is to facilitate the development of the telecommunications industry and enhance Hong Kong’s position as a telecommunications hub.
59,1,2006,2009,The aim is to purchase for government departments goods and services that represent best value for money.
59,1,2010,2014,The aim is to purchase for government departments goods and services that represent the best value for money.
59,2,2006,2006,"The aim is to supply common-user items required by government departments through allocated term contracts whereby the items will be delivered by suppliers directly to the user departments on an as and when required basis, to supply essential and emergency items to government departments in a cost-effective manner, and to assist other government departments to manage their supplies activities effectively."
59,2,2007,2007,"The aim is to supply common-user items required by government departments through allocated term contracts whereby the items will be delivered by suppliers directly to the user departments on an as-and-when-required basis, to supply essential and emergency items to government departments in a cost-effective manner, and to assist government departments to manage their supplies activities effectively."
59,2,2008,2014,"The aim is to supply common-user items required by government departments through allocated term contracts whereby the items will be delivered by suppliers directly to user departments on an as-and-when-required basis, to supply essential and emergency items to government departments in a cost-effective manner, and to assist government departments to manage their supplies activities effectively."
59,3,2006,2006,The aim is to procure vehicles to meet operational needs of government departments at best value for money and to provide government departments with transport management advice and supporting services.
59,3,2007,2009,The aim is to procure vehicles to meet operational needs of government departments at best value for money and to provide government departments with transport management advice and support services.
59,3,2010,2014,The aim is to procure vehicles to meet the operational needs of government departments at the best value for money and to provide government departments with transport management advice and support services.
59,4,2006,2008,The aim is to provide cost-effective printing services to government departments.
59,4,2009,2014,The aim is to provide cost-effective and quality printing services to government departments.
60,1,2006,2007,"The aim is to expand and improve the road network in order to meet the growth in traffic demand, serve new development areas and facilitate the movement of people and goods across the boundary in accordance with approved programmes and at the same time contribute towards sustainable development."
60,1,2008,2014,"The aim is to expand and improve the road network in order to meet the growth in traffic demand, serve new development areas and facilitate the movement of people and goods both within the territory and across the boundary in accordance with approved programmes and at the same time contribute towards sustainable development."
60,2,2006,2009,"The aim is to maintain the integrity of the road network with particular emphasis on safety and serviceability, ensure that the road infrastructure is not adversely affected by public or private sector developments and implement local road infrastructural works to fit in with progress of development."
60,2,2010,2010,"The aim is to maintain the integrity of the road network with particular emphasis on safety and serviceability, ensure that the road infrastructure is not adversely affected by public or private sector developments, and implement local road infrastructural works to fit in with progress of development."
60,2,2011,2012,"The aim is to maintain the integrity of the road network with particular emphasis on safety and serviceability, ensure that the road infrastructure is not adversely affected by public or private sector developments, and implement local road infrastructure works to fit in with progress of development."
60,2,2013,2014,"The aim is to maintain the integrity of the road network with particular emphasis on safety and serviceability, and implement local road infrastructure works to facilitate and cope with the public and private sector developments."
60,3,2006,2011,The aim is to implement the Railway Development Strategy and formulate plans for the further development of the railway network.
60,3,2012,2014,The aim is to implement the Railway Development Strategy and formulate plans for further development of the railway network.
60,4,2006,2014,The aim is to provide technical support and set standards for the construction and maintenance of the road network.
62,1,2006,2006,"The Housing Department is delegated with the authority over building control of the Housing Authority’s buildings that have been sold or otherwise disposed of under sections 4(2)(a) or 17A of the Housing Ordinance. The aim is for the Independent Checking Unit of the Department to exercise building control of these former Housing Authority’s buildings, in accordance with the Buildings Department’s current practice on building control of private housing, and to make a bi-annual report to the Director of Buildings."
62,1,2007,2010,"The Housing Department (HD) is delegated with the authority over building control of the Housing Authority (HA)’s buildings that have been sold or otherwise disposed of under sections 4(2)(a) or 17A of the Housing Ordinance. The aim is for the Independent Checking Unit (ICU) of the Department to exercise building control of these former HA’s buildings, in accordance with the Buildings Department (BD)’s current practice on building control of private housing, and to make a bi-annual report to the Director of Buildings."
62,1,2011,2011,"The Housing Department (HD) is delegated with the building control authority over buildings of the Housing Authority (HA) that have been sold or otherwise disposed of under sections 4(2)(a) or 17A of the Housing Ordinance (Cap. 283). The aim is for the Independent Checking Unit (ICU) of the Department to exercise building control of these former HA buildings, in accordance with the Buildings Department (BD)’s current practice on building control of private housing, and to make a bi-annual report to the Director of Buildings."
62,1,2012,2012,"The Housing Department (HD) is delegated with the building control authority over buildings of the Housing Authority (HA) that have been sold or otherwise disposed of under sections 4(2)(a) or 17A of the Housing Ordinance (Cap. 283). The aim is for the Independent Checking Unit (ICU) of HD to exercise building control of these former HA buildings, in accordance with the Buildings Department (BD)’s current practice on building control of private housing, and to make a bi-annual report to the Director of Buildings."
62,1,2013,2014,"The Housing Department (HD) is delegated with the building control authority over buildings of the Housing Authority (HA) that have been sold or otherwise disposed of under sections 4(2)(a) or 17A of the Housing Ordinance (Cap. 283) (HO). The aim is for the Independent Checking Unit (ICU) of HD to exercise building control of these former HA buildings, in accordance with the Buildings Department (BD)’s current practice on building control of private housing, and to make a bi-annual report to the Director of Buildings."
62,2,2006,2011,"The aim is to maintain an orderly, fair and free environment to facilitate the stable and healthy development of the private residential property market."
62,2,2012,2014,"The aim is to maintain an orderly, fair and free environment to facilitate stable and healthy development of the private residential property market."
62,3,2006,2006,"The aim is to provide administrative and secretarial support to the Appeal Panel (Housing) to ensure that appeals lodged under the Housing Ordinance against the termination of leases by the Housing Authority are handled in a thorough, impartial and efficient manner."
62,3,2007,2011,"The aim is to provide administrative and secretarial support to the Appeal Panel (Housing) to ensure that appeals lodged under the Housing Ordinance against the termination of leases by the HA are handled in a thorough, impartial and efficient manner."
62,3,2012,2012,"The aim is to provide administrative and secretarial support to the Appeal Panel (Housing) to ensure that appeals lodged under the Housing Ordinance against the termination of leases by HA are handled in a thorough, impartial and efficient manner."
62,3,2013,2014,"The aim is to provide administrative and secretarial support to the Appeal Panel (Housing) to ensure that appeals lodged under the HO against the termination of leases by HA are handled in a thorough, impartial and efficient manner."
62,4,2006,2007,"The aim is to provide rehousing assistance to eligible clearees affected by government actions in land clearance for development or other purposes, and to victims of natural disasters and other emergency incidents."
62,4,2008,2009,"The aim is to provide rehousing assistance to eligible clearees affected by government actions in land clearance, victims of natural disasters and other emergency incidents."
62,4,2010,2010,"The aim is to provide rehousing assistance to eligible clearees affected by government actions in land clearance, illegal rooftop structure clearance, victims of natural disasters and other emergency incidents."
62,4,2011,2014,"The aim is to provide rehousing assistance to eligible clearees affected by government actions in land clearance and illegal rooftop structure clearance, and victims of natural disasters and other emergency incidents."
62,5,2007,2014,The aim is to provide efficient and effective support services for housing-related matters and infrastructure projects.
63,1,2006,2006,"The aims are to develop policy in respect of the District Administration Scheme, to encourage public participation in the Scheme and through it to achieve better co-ordination and responsiveness of the Administration at district level, and to promote general understanding of Government’s policies and programmes."
63,1,2007,2007,"The aims are to develop policy in respect of the District Administration Scheme, to encourage public participation in the Scheme and through it to achieve better co-ordination and responsiveness of the Administration at district level, to enhance the work of Government in districts, and to promote general understanding of Government’s policies and programmes."
63,1,2008,2013,"The aims are to develop policy in respect of the District Administration Scheme, to encourage public participation in the Scheme and through it to enhance the capacity to resolve problems in districts and to ensure that public policies are effectively implemented at the district level."
63,1,2014,2014,"The aims are to implement and develop the District Administration Scheme, to encourage public participation in the Scheme and through it to enhance the capacity to resolve problems in districts and to ensure that public policies are effectively implemented at the district level."
63,2,2006,2013,The aims are to develop policy in respect of community building and to promote community involvement activities and public participation in community affairs.
63,2,2014,2014,The aims are to implement the policy in respect of community building and to promote community involvement activities and public participation in community affairs.
63,3,2006,2014,The aim is to improve the local environment through minor works.
63,4,2006,2006,"The aim is to implement the Hotel and Guesthouse Accommodation Ordinance (Cap. 349), the Clubs (Safety of Premises) Ordinance (Cap. 376), the Bedspace Apartments Ordinance (Cap. 447) and the Karaoke Establishments Ordinance (Cap. 573), and to process permits for non-charitable fund-raising activities."
63,4,2007,2011,"The aim is to implement the Hotel and Guesthouse Accommodation Ordinance (Cap. 349), the Clubs (Safety of Premises) Ordinance (Cap. 376), the Bedspace Apartments Ordinance (Cap. 447) and the Karaoke Establishments Ordinance (Cap. 573) and to process permits for non-charitable fund-raising activities."
63,4,2012,2014,"The aims are to implement the Miscellaneous Licences Ordinance (Cap. 114), the Gambling Ordinance (Cap. 148), the Hotel and Guesthouse Accommodation Ordinance (Cap. 349), the Clubs (Safety of Premises) Ordinance (Cap. 376), the Amusement Game Centres Ordinance (Cap. 435), the Bedspace Apartments Ordinance (Cap. 447) and the Karaoke Establishments Ordinance (Cap. 573) and to process permits for non-charitable fund-raising activities."
63,5,2006,2007,The aim is to assist in the monitoring and review of the planning and development of the territory and to input local views and sentiments.
63,5,2008,2014,The aim is to assist relevant bureaux and departments in gauging local views on the planning and development projects of the territory.
70,1,2006,2009,The aim is to control legal immigration and the entry of foreign workers and undesirable persons through the visa system.
70,1,2010,2014,"The aim is to control, through the visa system, legal immigration and the entry of foreign workers, and to prevent the entry of undesirable persons."
70,2,2006,2010,"The aims are to exercise quantitative and qualitative control over legal immigration, prevent the entry of undesirable persons and the departure of persons wanted for criminal offences, facilitate the movement of bona-fide tourists, business visitors and local residents, and process cross-boundary vehicles."
70,2,2011,2014,"The aims are to exercise quantitative and qualitative control over legal immigration; prevent the entry of undesirable persons and the departure of persons wanted for criminal offences; facilitate the movement of bona-fide tourists, business visitors and local residents; and process cross-boundary vehicles."
70,3,2006,2006,"The aim is to exercise immigration control by granting or refusing extension of stay; investigating and prosecuting offenders under the Immigration, Immigration Service, Registration of Persons, Marriage, Births and Deaths Ordinances, and certain provisions under the Crimes Ordinance; and removing or deporting illegal immigrants, overstayers and undesirable persons from Hong Kong."
70,3,2007,2010,"The aim is to exercise immigration control by granting or refusing extension of stay; investigating and prosecuting offenders under the Immigration, Immigration Service, Registration of Persons, Marriage, Births and Deaths Ordinances, and certain provisions under the Crimes Ordinance; removing or deporting illegal immigrants, overstayers and undesirable persons from Hong Kong; and assessing cases with claims made under the Convention Against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment."
70,3,2011,2012,"The aim is to exercise immigration control by granting or refusing extension of stay; investigating and prosecuting offenders under the Immigration Ordinance (Cap. 115), Immigration Service Ordinance (Cap. 331), Registration of Persons Ordinance (Cap. 177), Marriage Ordinance (Cap. 181), Births and Deaths Registration Ordinance (Cap. 174), and certain provisions under the Crimes Ordinance (Cap. 200); removing or deporting illegal immigrants, overstayers and undesirable persons from Hong Kong; and assessing cases with claims made under the Convention Against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment."
70,3,2013,2013,"The aim is to exercise immigration control by granting or refusing extension of stay; investigating and prosecuting offenders under the Immigration Ordinance (Cap. 115), Immigration Service Ordinance (Cap. 331), Registration of Persons Ordinance (Cap. 177), Marriage Ordinance (Cap. 181), Births and Deaths Registration Ordinance (Cap. 174), and certain provisions under the Crimes Ordinance (Cap. 200); removing or deporting illegal immigrants, overstayers and undesirable persons from Hong Kong; and assessing cases with torture claims made under Part VIIC of the Immigration Ordinance (Cap. 115) which formerly processed under the enhanced administrative screening mechanism before 3 December 2012."
70,3,2014,2014,"The aim is to exercise immigration control by granting or refusing extension of stay; investigating and prosecuting offenders under the Immigration Ordinance (Cap. 115), Immigration Service Ordinance (Cap. 331), Registration of Persons Ordinance (Cap. 177), Marriage Ordinance (Cap. 181), Births and Deaths Registration Ordinance (Cap. 174), and certain provisions under the Crimes Ordinance (Cap. 200); removing or deporting illegal immigrants, overstayers and undesirable persons from Hong Kong; and implementing a unified screening mechanism (USM), based on the procedures under the statutory torture claim screening mechanism, to assess"
70,4,2006,2008,"The aim is to counteract illegal immigration and enhance the maintenance of law and order by providing all legal residents with a secure form of identity card and all consequential services related to identity cards; to register births, deaths and marriages and provide all consequential services related to such civil registration; to assess right of abode claims; and to facilitate international travel of Hong Kong residents by providing them with travel documents."
70,4,2009,2014,"The aims are to counteract illegal immigration and enhance the maintenance of law and order by providing all legal residents with a secure form of identity card and all consequential services related to identity cards; to register births, deaths and marriages and provide all consequential services related to such civil registration; to assess right of abode claims; and to facilitate international travel of Hong Kong residents by providing them with travel documents."
70,5,2006,2006,"From 1 July 1997, the Department has been authorised by the Central People’s Government to deal with Chinese nationality matters in respect of residents in HKSAR in accordance with the Nationality Law of the People’s Republic of China and the ‘Explanations’ adopted by the Standing Committee of the National People’s Congress. On 1 February 2000, the Department started to accept applications outside Hong Kong for declaration of change of nationality, naturalisation as a Chinese national, and renunciation and restoration of Chinese nationality through Chinese diplomatic and consular missions. It also provides assistance to Hong Kong residents in distress outside Hong Kong."
70,5,2007,2010,"From 1 July 1997, the Department is authorised by the Central People’s Government to deal with Chinese nationality matters in respect of residents in the HKSAR in accordance with the Nationality Law of the People’s Republic of China and the ‘Explanations’ adopted by the Standing Committee of the National People’s Congress. On 1 February 2000, the Department started to accept applications outside Hong Kong for declaration of change of nationality, naturalisation as a Chinese national, and renunciation and restoration of Chinese nationality through Chinese diplomatic and consular missions. It also provides assistance to Hong Kong residents in distress outside Hong Kong."
70,5,2011,2012,"From 1 July 1997, the Department is authorised by the Central People’s Government to deal with Chinese nationality matters in respect of residents in the HKSAR in accordance with the Nationality Law of the People’s Republic of China and the “Explanations” adopted by the Standing Committee of the National People’s Congress. On 1 February 2000, the Department started to accept applications outside Hong Kong for declaration of change of nationality, naturalisation as a Chinese national, and renunciation and restoration of Chinese nationality through Chinese diplomatic and consular missions. It also provides assistance to Hong Kong residents in distress outside Hong Kong."
70,5,2013,2014,"The Department is authorised by the Central People’s Government to deal with Chinese nationality matters in respect of residents in HKSAR in accordance with the Nationality Law of the People’s Republic of China and the “Explanations” adopted by the Standing Committee of the National People’s Congress. The Department also accepts applications outside Hong Kong for declaration of change of nationality, naturalisation as a Chinese national, and renunciation and restoration of Chinese nationality through Chinese diplomatic and consular missions. It also provides assistance to Hong Kong residents in distress outside Hong Kong."
72,1,2006,2014,"The aim is to identify and eliminate opportunities for corruption in government departments and public bodies, and advise the private sector on corruption prevention."
72,2,2006,2014,The aim is to enforce the law vigilantly and professionally in order to seek out and eradicate corruption wherever it exists.
72,3,2006,2014,The aim is to promote better public understanding of the corruption problem and encourage target groups to take positive action.
72,4,2006,2006,"The aim is to achieve extensive public awareness of the evils of corruption, foster public confidence in and support for the work of ICAC and encourage the reporting of corruption offences."
72,4,2007,2014,"The aim is to promote public awareness of the evils of corruption, foster public confidence in and support for the work of the ICAC, and encourage reporting of corruption offences."
74,1,2006,2014,The aim is to promote a favourable image of Hong Kong internationally.
74,2,2006,2014,"The aim is to map out co-ordinated public relations strategies and plans for the presentation of government policies locally; and to convey to the public information on, and enhance public understanding of, government policies, plans, decisions, activities and services."
74,3,2006,2007,The aim is to keep the Government informed of public opinion as expressed in the media and to advise the Government on public reaction to government policies and plans.
74,3,2008,2014,The aim is to keep the Government informed of public opinion as expressed through the media and to advise the Government on public reaction to government policies and measures.
74,4,2006,2014,"The aim is to enhance public awareness of, and educate the community on, issues of wide concern and promote a greater sense of civic responsibility."
74,5,2006,2014,The aim is to serve as the Government’s publishing agency.
76,1,2006,2007,"The aim is to raise revenue through taxes, duties and fees in accordance with the relevant legislation in a cost- effective manner."
76,1,2008,2014,"The aim is to raise revenue through taxes, duties and fees in accordance with the relevant legislation in a cost-effective manner."
76,2,2006,2008,The aim is to collect taxes due under the relevant Ordinances in a cost-effective manner.
76,2,2009,2014,The aim is to collect taxes due under the relevant ordinances in a cost-effective manner.
76,3,2006,2014,"The aim is to counter tax evasion, minimise opportunities for tax avoidance and promote voluntary compliance by taxpayers."
76,4,2006,2006,The aim is to provide a high level and quality of service to the public by delivering timely and accurate advice thereby promoting voluntary tax compliance.
76,4,2007,2007,"The aim is to provide a high level and quality of service to the public through the provision of timely and accurate advice, thereby promoting voluntary tax compliance."
76,4,2008,2009,"The aim is to provide a high level and quality of service to the public through the provision of timely and accurate tax information, thereby promoting voluntary tax compliance."
76,4,2010,2014,"The aim is to provide a high level and quality service to the public through the provision of timely and accurate tax information, thereby promoting voluntary tax compliance."
78,1,2006,2014,"The aim is to provide cost-effective and efficient systems for the registration and administration of trademarks, patents, designs and copyright licensing bodies in Hong Kong."
78,2,2006,2006,"The aim is to promote awareness of intellectual property rights, enhance the reputation of Hong Kong in the protection of intellectual property rights in order to attract investment, and protect existing and new types of intellectual property rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their intellectual property assets, both in Hong Kong and in the Mainland."
78,2,2007,2007,"The aims are to promote awareness of intellectual property rights, to enhance the reputation of Hong Kong in the protection of intellectual property rights in order to attract investment, and to protect existing and new types of intellectual property rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their intellectual property assets, both in Hong Kong and in the Mainland."
78,2,2008,2008,"The aims are to promote awareness of intellectual property rights, to enhance the reputation of Hong Kong in the protection of intellectual property rights in order to attract investment, and to protect existing and new types of intellectual property rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their intellectual property assets, both in Hong Kong and in the region."
78,2,2009,2010,"The aims are to promote awareness of IP rights, to enhance the reputation of Hong Kong in the protection of IP rights in order to attract investment, and to protect existing and new types of IP rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their IP assets, both in Hong Kong and in the region."
78,2,2011,2012,"The aims are to promote awareness of intellectual property (IP) rights, to enhance the reputation of Hong Kong in the protection of IP rights in order to attract investment, and to protect existing and new types of IP rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their IP assets in Hong Kong and in the region, with a focus on promoting active prevention of IP rights infringement."
78,2,2013,2013,"The aims are to promote awareness of intellectual property (IP) rights, to enhance the reputation of Hong Kong in the protection of IP rights in order to attract investment and encourage innovation, and to protect existing and new types of IP rights in line with international trends and standards. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their IP assets in Hong Kong and in the region, with a focus on promoting active prevention of IP rights infringement."
78,2,2014,2014,"The aims are to promote awareness of intellectual property (IP) rights, to enhance the reputation of Hong Kong in the protection of IP rights in order to attract investment and encourage innovation, to protect existing and new types of IP rights in line with international trends and standards, and to facilitate and promote the development of IP trading in Hong Kong. Particular attention is paid to providing support for small and medium enterprises (SMEs) to help them protect their IP assets in Hong Kong and in the region, with a focus on promoting active prevention of IP rights infringement."
79,1,2006,2009,The aim is to attract and retain foreign direct investment and to maintain and develop Hong Kong as the leading international business location in Asia.
79,1,2010,2011,"The aim is to attract and assist foreign, Mainland and Taiwan companies to set up, retain and expand their operations in Hong Kong and to promote Hong Kong’s advantages as the leading international business location in Asia."
79,1,2012,2014,"The aim is to attract and assist overseas, Mainland and Taiwan companies to set up, retain and expand their operations in Hong Kong and to promote Hong Kong’s advantages as the leading international business location in Asia."
80,1,2006,2006,"The aim is to maintain an independent and competent judicial system which upholds the rule of law, safeguards the rights and freedoms of individuals and commands domestic and international confidence."
80,1,2007,2014,"The aim is to maintain an independent and effective judicial system which upholds the rule of law, safeguards the rights and freedoms of the individual and commands confidence within and outside Hong Kong."
80,2,2006,2014,The aim is to provide efficient and effective services to support the operation of courts.
82,1,2006,2007,"The aim is to promote building safety, enforce building standards and improve the quality of building development."
82,1,2008,2008,"The aim is to promote building safety, set and enforce building standards and improve the quality of building development."
82,1,2009,2010,"The aim is to promote building safety, set and enforce safety, health and environmental standards for private buildings and improve the quality of building development."
82,1,2011,2014,"The aim is to promote building safety; set and enforce safety, health and environmental standards for private buildings; and improve the quality of building development."
90,1,2006,2010,The aim is to foster and maintain harmonious employer-employee relations in the non-government sector.
90,1,2011,2012,The aim is to maintain and foster harmonious employer-employee relations in the non-government sector.
90,1,2013,2014,The aim is to maintain and foster harmonious employer-employee relations in establishments outside the government sector.
90,2,2006,2006,The aim is to provide a comprehensive range of free employment assistance and counselling services to help job-seekers find suitable jobs and employers fill their vacancies.
90,2,2007,2007,The aim is to provide a comprehensive range of free employment assistance and counselling services to help job- seekers find suitable jobs and employers fill their vacancies.
90,2,2008,2008,The aim is to provide a comprehensive range of free employment assistance and recruitment services to help job-seekers find suitable jobs and employers fill their vacancies.
90,2,2009,2010,The aim is to provide a comprehensive range of free employment assistance and recruitment services to help job seekers find suitable jobs and employers fill their vacancies.
90,2,2011,2011,"The aim is to provide a comprehensive range of free employment assistance and recruitment services, to help job seekers find suitable jobs and employers find recruits."
90,2,2012,2014,The aim is to provide a comprehensive range of free employment assistance and recruitment services to help job seekers find suitable jobs and employers find recruits.
90,3,2006,2008,"The aim is to ensure that risks to the safety and health of people at work are properly managed by legislation, education and publicity efforts."
90,3,2009,2014,"The aim is to ensure that risks to the safety and health of people at work are properly managed by legislation, enforcement, education and publicity efforts."
90,4,2006,2014,The aim is to safeguard the rights and benefits of employees under labour laws.
91,1,2006,2014,"The aim is to administer land in Hong Kong by disposing of land; acquiring private land and clearing land required for the implementation of public works and other projects; managing government leases, unleased land and certain buildings held by the Administration; renewing and modifying leases; and maintaining man-made slopes on unallocated and unleased government land."
91,2,2006,2010,"The aim is to formulate and implement survey and mapping policies, standards, regulations and specifications; provide and maintain the basic mapping, geodetic and land boundary databases; carry out geodetic, mapping and land boundary surveys; and administer the Land Survey Ordinance under the Land Survey Authority to cope with land and building developments in Hong Kong."
91,2,2011,2014,"The aim is to formulate and implement survey and mapping policies, standards, regulations and specifications; provide and maintain the basic mapping, geodetic and land boundary databases; carry out geodetic, mapping and land boundary surveys; and administer the Land Survey Ordinance (Cap. 473) (LSO) under the Land Survey Authority to cope with land and building developments in Hong Kong."
91,3,2006,2014,"The aim is to facilitate government land transactions by providing legal advice and conveyancing services to the departments and bureaux concerned, and to give consent to sales of units in uncompleted developments."
92,1,2006,2014,The aim is to advise and decide whether or not criminal proceedings should be undertaken and to prosecute cases in the courts.
92,2,2006,2010,"The aim is to provide legal advice to the Government on civil matters, to undertake civil litigation and to draft contracts on commercial and other matters."
92,2,2011,2014,"The aim is to provide legal advice to the Government on civil matters, to undertake civil litigation and dispute resolution and to draft contracts on commercial and other matters."
92,3,2006,2014,"The aim is to advise the Government on matters raising questions of legal policy; to assist in formulating policy, particularly in relation to the legal system and the legal profession; to provide support to the Secretary for Justice in relation to the discharge of his duties; to provide advice in respect of the Basic Law, human rights and constitutional affairs as well as the law and legal developments in the Mainland; and to review chosen areas of the law and provide secretariat support for the Law Reform Commission."
92,3,2011,2011,"The aim is to advise the Government on matters raising questions of legal policy; to assist in formulating policy, particularly in relation to the legal system and the legal profession; to provide support to the Secretary for Justice in relation to the discharge of his duties; to provide advice in respect of the Basic Law, human rights and constitutional affairs as well as the law and legal developments in the Mainland; and to review chosen areas of the law and provide secretariat support to the Law Reform Commission."
92,4,2006,2014,The aim is to draft legislation and to make the texts of legislation readily accessible.
92,5,2006,2014,The aim is to provide advice on international law issues to the Government and to handle requests for international legal co-operation efficiently.
94,1,2006,2014,The aim is to ensure that legal aid service is provided only to eligible applicants.
94,1,2012,2012,The aim is to ensure that legal aid is provided only to eligible applicants.
94,2,2006,2014,The aim is to discharge the Department’s statutory duties relating to assignment and conduct of legal aid cases.
94,3,2006,2014,"The aims are to provide effective support services for processing applications and conducting legal aid cases and for increasing public understanding and awareness of legal aid services, and to review or make recommendations on legal aid policy to meet areas of perceived needs."
94,4,2006,2006,"The aim is to provide representation to persons under a legal disability and to discharge the Official Solicitor’s duties as prescribed by the Official Solicitor Ordinance, Cap. 416, and by other enactments."
94,4,2007,2010,The aim is to provide representation to persons under a legal disability and to discharge the Official Solicitor’s duties as prescribed by the Official Solicitor Ordinance and other enactments.
94,4,2011,2014,The aim is to provide representation to persons under a legal disability and to discharge the Official Solicitor’s duties as prescribed by the Official Solicitor Ordinance (Cap. 416) (OSO) and other enactments.
95,1,2006,2006,The aim is to develop and manage recreation and sports facilities and to organise a wide range of leisure activities in order to promote recreation and sports at all levels throughout the community.
95,1,2007,2007,"The aim is to develop and manage recreation and sports facilities and to organise a wide range of leisure activities in order to promote recreation and sports at all levels throughout the community, which include: • providing safe and good quality recreation and sports facilities for the public; • enhancing public awareness of the benefit of physical fitness and promoting regular participation in sports activities by all walks of life in the community; • promoting awareness of water sports safety in the Department’s venues; • organising physical recreation and sports activities for different age groups, including students and persons with a disability; and • improving the efficiency and cost-effectiveness in the provision of recreation and sports services."
95,1,2008,2011,"The aims are to develop and manage recreation and sports facilities and to organise a wide range of leisure activities in order to promote recreation and sports at all levels throughout the community, which include: • providing safe and good quality recreation and sports facilities for the public; • enhancing public awareness of the benefit of physical fitness and promoting regular participation in sports activities by all walks of life in the community; • promoting awareness of water sports safety in the Department’s venues; • organising physical recreation and sports activities for different age groups, including students and persons with a disability; and • improving the efficiency and cost-effectiveness in the provision of recreation and sports services."
